txn_id,account_id,txn_date,txn_amount,issue
SYNTHETIC_TXN_000141,,2024-09-02,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000142,,2024-08-28,6939.8,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000145,,2023-12-28,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000147,,2023-07-21,6423.38,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000160,,2023-02-04,7644.04,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000162,,2023-07-23,4737.44,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000164,,2023-01-27,1096.05,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000167,,2024-10-29,6114.78,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000169,,2024-03-11,5580.87,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000176,,2024-06-24,9971.71,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000182,,2024-02-17,4054.17,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000183,,2023-12-15,4781.82,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000197,,2024-02-09,6433.16,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000200,,2023-04-22,1904.82,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000205,,2023-05-18,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000222,,2024-03-30,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000224,,2024-04-27,7791.69,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000230,,2023-11-09,8312.81,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000231,,2023-09-29,7152.36,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000237,,2024-11-16,4524.47,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000245,,2023-08-23,6194.1,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000247,,2024-03-11,2920.9,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000251,,2024-01-07,2069.43,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000259,,2024-08-18,9918.37,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000262,,2023-10-26,92.88,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000268,,2023-12-28,5939.3,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000270,,2024-03-13,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000271,,2024-10-12,6160.47,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000273,,2023-02-18,4533.72,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000274,,2023-07-15,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000278,,2024-07-01,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000279,,2023-12-16,3199.35,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000281,,2024-04-27,5638.07,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000285,,2024-10-06,4130.57,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000289,,2023-01-18,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000291,,2024-04-20,8546.01,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000299,,2024-11-02,2190.21,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000302,,2024-06-22,9475.58,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000303,,2023-07-11,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000311,,2024-12-30,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000316,,2023-06-27,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000317,,2023-12-28,5496.63,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000319,,2024-09-29,4709.45,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000327,,2023-06-04,7583.77,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000332,,2023-07-22,9134.32,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000333,,2023-07-14,5067.95,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000337,,2023-03-10,7798.3,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000341,,2024-02-03,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000346,,2023-12-17,8714.31,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000347,,2023-04-06,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000350,,2023-05-21,47.14,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000356,,2023-01-03,5896.93,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000360,,2023-07-15,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000362,,2024-08-01,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000363,,2024-04-05,2311.61,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000364,,2024-02-15,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000370,,2023-05-21,123.61,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000373,,2023-07-31,2408.92,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000374,,2023-10-01,8012.61,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000379,,2023-11-08,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000380,,2024-01-20,3928.97,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000394,,2023-04-01,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000400,,2023-07-04,9482.11,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000402,,2024-11-06,3317.16,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000404,,2023-05-12,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000406,,2023-11-27,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000412,,2023-04-10,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000414,,2024-02-23,8778.85,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000419,,2023-08-24,6594.13,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000423,,2023-04-23,8172.36,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000424,,2023-12-27,2808.1,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000426,,2024-08-03,1347.25,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000427,,2023-02-23,5993.57,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000432,,2024-01-08,2294.87,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000435,,2023-10-25,5853.7,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000443,,2023-06-18,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000445,,2023-07-25,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000448,,2023-02-11,2482.58,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000449,,2023-02-01,2185.67,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000450,,2023-04-08,2654.06,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000451,,2023-04-13,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000458,,2024-07-04,7385.42,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000460,,2023-09-28,2542.9,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000463,,2023-10-27,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000474,,2023-01-21,5166.1,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000484,,2023-04-08,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000486,,2023-08-23,7243.99,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000488,,2023-03-19,2633.5,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000493,,2023-09-09,2087.39,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000500,,2024-02-26,163.03,Referential integrity issue: account_id not found
