cohort_month,activity_month,accounts_in_cohort_month,accounts_with_activity
2020-06,2024-06,14,14
2020-06,2024-07,16,16
2020-06,2024-08,15,15
2020-06,2024-09,18,18
2020-06,2024-10,21,21
2020-06,2024-11,16,16
2020-06,2024-12,22,22
2020-07,2023-01,18,18
2020-07,2023-02,17,17
2020-07,2023-03,24,24
2020-07,2023-04,17,17
2020-07,2023-05,23,23
2020-07,2023-06,21,21
2020-07,2023-07,19,19
2020-07,2023-08,21,21
2020-07,2023-09,21,21
2020-07,2023-10,21,21
2020-07,2023-11,19,19
2020-07,2023-12,17,17
2020-07,2024-01,20,20
2020-07,2024-02,16,16
2020-07,2024-03,19,19
2020-07,2024-04,19,19
2020-07,2024-05,16,16
2020-07,2024-06,23,23
2020-07,2024-07,24,24
2020-07,2024-08,20,20
2020-07,2024-09,24,24
2020-07,2024-10,17,17
2020-07,2024-11,22,22
2020-07,2024-12,22,22
2020-08,2023-01,21,21
2020-08,2023-02,15,15
2020-08,2023-03,19,19
2020-08,2023-04,18,18
2020-08,2023-05,21,21
2020-08,2023-06,20,20
2020-08,2023-07,19,19
2020-08,2023-08,17,17
2020-08,2023-09,15,15
2020-08,2023-10,19,19
2020-08,2023-11,22,22
2020-08,2023-12,20,20
2020-08,2024-01,21,21
2020-08,2024-02,18,18
2020-08,2024-03,21,21
2020-08,2024-04,19,19
2020-08,2024-05,18,18
2020-08,2024-06,23,23
2020-08,2024-07,22,22
2020-08,2024-08,23,23
2020-08,2024-09,17,17
2020-08,2024-10,17,17
2020-08,2024-11,23,23
2020-08,2024-12,16,16
2020-09,2023-01,17,17
2020-09,2023-02,15,15
2020-09,2023-03,21,21
2020-09,2023-04,19,19
2020-09,2023-05,17,17
2020-09,2023-06,18,18
2020-09,2023-07,13,13
2020-09,2023-08,21,21
2020-09,2023-09,25,25
2020-09,2023-10,14,14
2020-09,2023-11,20,20
2020-09,2023-12,17,17
2020-09,2024-01,11,11
2020-09,2024-02,17,17
2020-09,2024-03,19,19
2020-09,2024-04,16,16
2020-09,2024-05,15,15
2020-09,2024-06,15,15
2020-09,2024-07,14,14
2020-09,2024-08,13,13
2020-09,2024-09,16,16
2020-09,2024-10,19,19
2020-09,2024-11,16,16
2020-09,2024-12,15,15
2020-10,2023-01,17,17
2020-10,2023-02,15,15
2020-10,2023-03,21,21
2020-10,2023-04,18,18
2020-10,2023-05,20,20
2020-10,2023-06,17,17
2020-10,2023-07,23,23
2020-10,2023-08,16,16
2020-10,2023-09,24,24
2020-10,2023-10,18,18
2020-10,2023-11,20,20
2020-10,2023-12,16,16
2020-10,2024-01,15,15
2020-10,2024-02,19,19
2020-10,2024-03,18,18
2020-10,2024-04,21,21
2020-10,2024-05,16,16
2020-10,2024-06,15,15
2020-10,2024-07,19,19
2020-10,2024-08,19,19
2020-10,2024-09,17,17
2020-10,2024-10,23,23
2020-10,2024-11,19,19
2020-10,2024-12,23,23
2020-11,2023-01,16,16
2020-11,2023-02,17,17
2020-11,2023-03,19,19
2020-11,2023-04,23,23
2020-11,2023-05,21,21
2020-11,2023-06,13,13
2020-11,2023-07,14,14
2020-11,2023-08,16,16
2020-11,2023-09,18,18
2020-11,2023-10,19,19
2020-11,2023-11,22,22
2020-11,2023-12,16,16
2020-11,2024-01,22,22
2020-11,2024-02,20,20
2020-11,2024-03,16,16
2020-11,2024-04,21,21
2020-11,2024-05,19,19
2020-11,2024-06,15,15
2020-11,2024-07,16,16
2020-11,2024-08,18,18
2020-11,2024-09,16,16
2020-11,2024-10,15,15
2020-11,2024-11,17,17
2020-11,2024-12,17,17
2020-12,2023-01,20,20
2020-12,2023-02,19,19
2020-12,2023-03,18,18
2020-12,2023-04,17,17
2020-12,2023-05,20,20
2020-12,2023-06,22,22
2020-12,2023-07,23,23
2020-12,2023-08,21,21
2020-12,2023-09,22,22
2020-12,2023-10,23,23
2020-12,2023-11,26,26
2020-12,2023-12,21,21
2020-12,2024-01,19,19
2020-12,2024-02,17,17
2020-12,2024-03,24,24
2020-12,2024-04,23,23
2020-12,2024-05,19,19
2020-12,2024-06,16,16
2020-12,2024-07,18,18
2020-12,2024-08,16,16
2020-12,2024-09,13,13
2020-12,2024-10,21,21
2020-12,2024-11,19,19
2020-12,2024-12,22,22
2021-01,2023-01,20,20
2021-01,2023-02,14,14
2021-01,2023-03,17,17
2021-01,2023-04,18,18
2021-01,2023-05,17,17
2021-01,2023-06,18,18
2021-01,2023-07,19,19
2021-01,2023-08,22,22
2021-01,2023-09,17,17
2021-01,2023-10,20,20
2021-01,2023-11,17,17
2021-01,2023-12,16,16
2021-01,2024-01,14,14
2021-01,2024-02,18,18
2021-01,2024-03,24,24
2021-01,2024-04,20,20
2021-01,2024-05,19,19
2021-01,2024-06,16,16
2021-01,2024-07,20,20
2021-01,2024-08,17,17
2021-01,2024-09,21,21
2021-01,2024-10,19,19
2021-01,2024-11,16,16
2021-01,2024-12,20,20
2021-02,2023-01,17,17
2021-02,2023-02,16,16
2021-02,2023-03,16,16
2021-02,2023-04,16,16
2021-02,2023-05,18,18
2021-02,2023-06,15,15
2021-02,2023-07,18,18
2021-02,2023-08,18,18
2021-02,2023-09,17,17
2021-02,2023-10,13,13
2021-02,2023-11,17,17
2021-02,2023-12,15,15
2021-02,2024-01,12,12
2021-02,2024-02,13,13
2021-02,2024-03,18,18
2021-02,2024-04,15,15
2021-02,2024-05,15,15
2021-02,2024-06,15,15
2021-02,2024-07,17,17
2021-02,2024-08,16,16
2021-02,2024-09,18,18
2021-02,2024-10,20,20
2021-02,2024-11,13,13
2021-02,2024-12,14,14
2021-03,2023-01,25,25
2021-03,2023-02,19,19
2021-03,2023-03,31,31
2021-03,2023-04,28,28
2021-03,2023-05,30,30
2021-03,2023-06,30,30
2021-03,2023-07,31,31
2021-03,2023-08,29,29
2021-03,2023-09,29,29
2021-03,2023-10,28,28
2021-03,2023-11,27,27
2021-03,2023-12,35,35
2021-03,2024-01,27,27
2021-03,2024-02,27,27
2021-03,2024-03,31,31
2021-03,2024-04,26,26
2021-03,2024-05,23,23
2021-03,2024-06,30,30
2021-03,2024-07,24,24
2021-03,2024-08,30,30
2021-03,2024-09,31,31
2021-03,2024-10,31,31
2021-03,2024-11,31,31
2021-03,2024-12,28,28
2021-04,2023-01,27,27
2021-04,2023-02,25,25
2021-04,2023-03,25,25
2021-04,2023-04,23,23
2021-04,2023-05,27,27
2021-04,2023-06,24,24
2021-04,2023-07,24,24
2021-04,2023-08,28,28
2021-04,2023-09,27,27
2021-04,2023-10,25,25
2021-04,2023-11,24,24
2021-04,2023-12,29,29
2021-04,2024-01,22,22
2021-04,2024-02,21,21
2021-04,2024-03,17,17
2021-04,2024-04,25,25
2021-04,2024-05,23,23
2021-04,2024-06,25,25
2021-04,2024-07,25,25
2021-04,2024-08,23,23
2021-04,2024-09,25,25
2021-04,2024-10,24,24
2021-04,2024-11,26,26
2021-04,2024-12,25,25
2021-05,2023-01,33,33
2021-05,2023-02,25,25
2021-05,2023-03,29,29
2021-05,2023-04,27,27
2021-05,2023-05,29,29
2021-05,2023-06,29,29
2021-05,2023-07,34,34
2021-05,2023-08,31,31
2021-05,2023-09,20,20
2021-05,2023-10,25,25
2021-05,2023-11,34,34
2021-05,2023-12,36,36
2021-05,2024-01,31,31
2021-05,2024-02,31,31
2021-05,2024-03,25,25
2021-05,2024-04,24,24
2021-05,2024-05,30,30
2021-05,2024-06,32,32
2021-05,2024-07,28,28
2021-05,2024-08,26,26
2021-05,2024-09,30,30
2021-05,2024-10,28,28
2021-05,2024-11,28,28
2021-05,2024-12,30,30
2021-06,2023-01,20,20
2021-06,2023-02,17,17
2021-06,2023-03,17,17
2021-06,2023-04,19,19
2021-06,2023-05,18,18
2021-06,2023-06,17,17
2021-06,2023-07,15,15
2021-06,2023-08,19,19
2021-06,2023-09,19,19
2021-06,2023-10,18,18
2021-06,2023-11,19,19
2021-06,2023-12,18,18
2021-06,2024-01,18,18
2021-06,2024-02,16,16
2021-06,2024-03,18,18
2021-06,2024-04,16,16
2021-06,2024-05,14,14
2021-06,2024-06,18,18
2021-06,2024-07,13,13
2021-06,2024-08,16,16
2021-06,2024-09,19,19
2021-06,2024-10,15,15
2021-06,2024-11,13,13
2021-06,2024-12,14,14
2021-07,2023-01,21,21
2021-07,2023-02,19,19
2021-07,2023-03,20,20
2021-07,2023-04,16,16
2021-07,2023-05,20,20
2021-07,2023-06,20,20
2021-07,2023-07,20,20
2021-07,2023-08,21,21
2021-07,2023-09,23,23
2021-07,2023-10,23,23
2021-07,2023-11,25,25
2021-07,2023-12,20,20
2021-07,2024-01,19,19
2021-07,2024-02,21,21
2021-07,2024-03,23,23
2021-07,2024-04,22,22
2021-07,2024-05,29,29
2021-07,2024-06,25,25
2021-07,2024-07,24,24
2021-07,2024-08,19,19
2021-07,2024-09,21,21
2021-07,2024-10,22,22
2021-07,2024-11,25,25
2021-07,2024-12,22,22
2021-08,2023-01,20,20
2021-08,2023-02,13,13
2021-08,2023-03,19,19
2021-08,2023-04,16,16
2021-08,2023-05,16,16
2021-08,2023-06,19,19
2021-08,2023-07,21,21
2021-08,2023-08,16,16
2021-08,2023-09,17,17
2021-08,2023-10,17,17
2021-08,2023-11,21,21
2021-08,2023-12,18,18
2021-08,2024-01,18,18
2021-08,2024-02,18,18
2021-08,2024-03,13,13
2021-08,2024-04,22,22
2021-08,2024-05,20,20
2021-08,2024-06,20,20
2021-08,2024-07,14,14
2021-08,2024-08,18,18
2021-08,2024-09,16,16
2021-08,2024-10,17,17
2021-08,2024-11,20,20
2021-08,2024-12,15,15
2021-09,2023-01,22,22
2021-09,2023-02,15,15
2021-09,2023-03,21,21
2021-09,2023-04,19,19
2021-09,2023-05,18,18
2021-09,2023-06,22,22
2021-09,2023-07,20,20
2021-09,2023-08,21,21
2021-09,2023-09,23,23
2021-09,2023-10,20,20
2021-09,2023-11,21,21
2021-09,2023-12,22,22
2021-09,2024-01,22,22
2021-09,2024-02,19,19
2021-09,2024-03,18,18
2021-09,2024-04,21,21
2021-09,2024-05,18,18
2021-09,2024-06,16,16
2021-09,2024-07,23,23
2021-09,2024-08,21,21
2021-09,2024-09,22,22
2021-09,2024-10,22,22
2021-09,2024-11,20,20
2021-09,2024-12,22,22
2021-10,2023-01,21,21
2021-10,2023-02,20,20
2021-10,2023-03,23,23
2021-10,2023-04,21,21
2021-10,2023-05,24,24
2021-10,2023-06,17,17
2021-10,2023-07,20,20
2021-10,2023-08,21,21
2021-10,2023-09,19,19
2021-10,2023-10,20,20
2021-10,2023-11,19,19
2021-10,2023-12,24,24
2021-10,2024-01,23,23
2021-10,2024-02,14,14
2021-10,2024-03,21,21
2021-10,2024-04,20,20
2021-10,2024-05,20,20
2021-10,2024-06,23,23
2021-10,2024-07,20,20
2021-10,2024-08,15,15
2021-10,2024-09,17,17
2021-10,2024-10,16,16
2021-10,2024-11,21,21
2021-10,2024-12,21,21
2021-11,2023-01,19,19
2021-11,2023-02,19,19
2021-11,2023-03,19,19
2021-11,2023-04,23,23
2021-11,2023-05,19,19
2021-11,2023-06,19,19
2021-11,2023-07,20,20
2021-11,2023-08,18,18
2021-11,2023-09,21,21
2021-11,2023-10,15,15
2021-11,2023-11,17,17
2021-11,2023-12,19,19
2021-11,2024-01,21,21
2021-11,2024-02,21,21
2021-11,2024-03,20,20
2021-11,2024-04,21,21
2021-11,2024-05,17,17
2021-11,2024-06,25,25
2021-11,2024-07,19,19
2021-11,2024-08,24,24
2021-11,2024-09,23,23
2021-11,2024-10,22,22
2021-11,2024-11,20,20
2021-11,2024-12,21,21
2021-12,2023-01,22,22
2021-12,2023-02,20,20
2021-12,2023-03,21,21
2021-12,2023-04,20,20
2021-12,2023-05,26,26
2021-12,2023-06,19,19
2021-12,2023-07,25,25
2021-12,2023-08,23,23
2021-12,2023-09,20,20
2021-12,2023-10,24,24
2021-12,2023-11,20,20
2021-12,2023-12,23,23
2021-12,2024-01,22,22
2021-12,2024-02,22,22
2021-12,2024-03,23,23
2021-12,2024-04,24,24
2021-12,2024-05,24,24
2021-12,2024-06,20,20
2021-12,2024-07,23,23
2021-12,2024-08,23,23
2021-12,2024-09,23,23
2021-12,2024-10,26,26
2021-12,2024-11,21,21
2021-12,2024-12,18,18
2022-01,2023-01,27,27
2022-01,2023-02,20,20
2022-01,2023-03,21,21
2022-01,2023-04,23,23
2022-01,2023-05,21,21
2022-01,2023-06,22,22
2022-01,2023-07,23,23
2022-01,2023-08,19,19
2022-01,2023-09,18,18
2022-01,2023-10,27,27
2022-01,2023-11,16,16
2022-01,2023-12,20,20
2022-01,2024-01,26,26
2022-01,2024-02,21,21
2022-01,2024-03,22,22
2022-01,2024-04,22,22
2022-01,2024-05,21,21
2022-01,2024-06,14,14
2022-01,2024-07,25,25
2022-01,2024-08,21,21
2022-01,2024-09,20,20
2022-01,2024-10,24,24
2022-01,2024-11,24,24
2022-01,2024-12,23,23
2022-02,2023-01,30,30
2022-02,2023-02,20,20
2022-02,2023-03,31,31
2022-02,2023-04,26,26
2022-02,2023-05,27,27
2022-02,2023-06,31,31
2022-02,2023-07,29,29
2022-02,2023-08,23,23
2022-02,2023-09,25,25
2022-02,2023-10,28,28
2022-02,2023-11,24,24
2022-02,2023-12,25,25
2022-02,2024-01,26,26
2022-02,2024-02,21,21
2022-02,2024-03,29,29
2022-02,2024-04,27,27
2022-02,2024-05,21,21
2022-02,2024-06,26,26
2022-02,2024-07,21,21
2022-02,2024-08,24,24
2022-02,2024-09,25,25
2022-02,2024-10,29,29
2022-02,2024-11,30,30
2022-02,2024-12,25,25
2022-03,2023-01,21,21
2022-03,2023-02,25,25
2022-03,2023-03,19,19
2022-03,2023-04,20,20
2022-03,2023-05,19,19
2022-03,2023-06,23,23
2022-03,2023-07,22,22
2022-03,2023-08,23,23
2022-03,2023-09,18,18
2022-03,2023-10,25,25
2022-03,2023-11,17,17
2022-03,2023-12,22,22
2022-03,2024-01,17,17
2022-03,2024-02,21,21
2022-03,2024-03,19,19
2022-03,2024-04,23,23
2022-03,2024-05,22,22
2022-03,2024-06,22,22
2022-03,2024-07,21,21
2022-03,2024-08,20,20
2022-03,2024-09,17,17
2022-03,2024-10,21,21
2022-03,2024-11,23,23
2022-03,2024-12,18,18
2022-04,2023-01,26,26
2022-04,2023-02,25,25
2022-04,2023-03,22,22
2022-04,2023-04,28,28
2022-04,2023-05,31,31
2022-04,2023-06,29,29
2022-04,2023-07,26,26
2022-04,2023-08,27,27
2022-04,2023-09,23,23
2022-04,2023-10,27,27
2022-04,2023-11,26,26
2022-04,2023-12,26,26
2022-04,2024-01,30,30
2022-04,2024-02,26,26
2022-04,2024-03,33,33
2022-04,2024-04,24,24
2022-04,2024-05,23,23
2022-04,2024-06,32,32
2022-04,2024-07,25,25
2022-04,2024-08,25,25
2022-04,2024-09,29,29
2022-04,2024-10,29,29
2022-04,2024-11,26,26
2022-04,2024-12,30,30
2022-05,2023-01,15,15
2022-05,2023-02,15,15
2022-05,2023-03,15,15
2022-05,2023-04,16,16
2022-05,2023-05,17,17
2022-05,2023-06,19,19
2022-05,2023-07,14,14
2022-05,2023-08,24,24
2022-05,2023-09,21,21
2022-05,2023-10,14,14
2022-05,2023-11,18,18
2022-05,2023-12,21,21
2022-05,2024-01,22,22
2022-05,2024-02,16,16
2022-05,2024-03,21,21
2022-05,2024-04,17,17
2022-05,2024-05,19,19
2022-05,2024-06,22,22
2022-05,2024-07,18,18
2022-05,2024-08,21,21
2022-05,2024-09,18,18
2022-05,2024-10,23,23
2022-05,2024-11,22,22
2022-05,2024-12,21,21
2022-06,2023-01,29,29
2022-06,2023-02,24,24
2022-06,2023-03,28,28
2022-06,2023-04,23,23
2022-06,2023-05,25,25
2022-06,2023-06,16,16
2022-06,2023-07,20,20
2022-06,2023-08,25,25
2022-06,2023-09,21,21
2022-06,2023-10,23,23
2022-06,2023-11,23,23
2022-06,2023-12,26,26
2022-06,2024-01,24,24
2022-06,2024-02,27,27
2022-06,2024-03,27,27
2022-06,2024-04,23,23
2022-06,2024-05,26,26
2022-06,2024-06,21,21
2022-06,2024-07,22,22
2022-06,2024-08,17,17
2022-06,2024-09,25,25
2022-06,2024-10,25,25
2022-06,2024-11,27,27
2022-06,2024-12,21,21
2022-07,2023-01,20,20
2022-07,2023-02,21,21
2022-07,2023-03,20,20
2022-07,2023-04,22,22
2022-07,2023-05,20,20
2022-07,2023-06,21,21
2022-07,2023-07,17,17
2022-07,2023-08,23,23
2022-07,2023-09,19,19
2022-07,2023-10,21,21
2022-07,2023-11,18,18
2022-07,2023-12,17,17
2022-07,2024-01,23,23
2022-07,2024-02,20,20
2022-07,2024-03,22,22
2022-07,2024-04,19,19
2022-07,2024-05,18,18
2022-07,2024-06,22,22
2022-07,2024-07,22,22
2022-07,2024-08,28,28
2022-07,2024-09,23,23
2022-07,2024-10,15,15
2022-07,2024-11,19,19
2022-07,2024-12,18,18
2022-08,2023-01,29,29
2022-08,2023-02,25,25
2022-08,2023-03,25,25
2022-08,2023-04,22,22
2022-08,2023-05,29,29
2022-08,2023-06,25,25
2022-08,2023-07,25,25
2022-08,2023-08,28,28
2022-08,2023-09,28,28
2022-08,2023-10,27,27
2022-08,2023-11,23,23
2022-08,2023-12,25,25
2022-08,2024-01,28,28
2022-08,2024-02,25,25
2022-08,2024-03,29,29
2022-08,2024-04,28,28
2022-08,2024-05,29,29
2022-08,2024-06,22,22
2022-08,2024-07,28,28
2022-08,2024-08,29,29
2022-08,2024-09,30,30
2022-08,2024-10,27,27
2022-08,2024-11,30,30
2022-08,2024-12,30,30
2022-09,2023-01,24,24
2022-09,2023-02,19,19
2022-09,2023-03,25,25
2022-09,2023-04,19,19
2022-09,2023-05,23,23
2022-09,2023-06,23,23
2022-09,2023-07,21,21
2022-09,2023-08,26,26
2022-09,2023-09,28,28
2022-09,2023-10,22,22
2022-09,2023-11,24,24
2022-09,2023-12,19,19
2022-09,2024-01,25,25
2022-09,2024-02,18,18
2022-09,2024-03,23,23
2022-09,2024-04,25,25
2022-09,2024-05,21,21
2022-09,2024-06,22,22
2022-09,2024-07,23,23
2022-09,2024-08,25,25
2022-09,2024-09,23,23
2022-09,2024-10,27,27
2022-09,2024-11,24,24
2022-09,2024-12,18,18
2022-10,2023-01,22,22
2022-10,2023-02,21,21
2022-10,2023-03,19,19
2022-10,2023-04,22,22
2022-10,2023-05,17,17
2022-10,2023-06,18,18
2022-10,2023-07,22,22
2022-10,2023-08,16,16
2022-10,2023-09,24,24
2022-10,2023-10,24,24
2022-10,2023-11,22,22
2022-10,2023-12,19,19
2022-10,2024-01,24,24
2022-10,2024-02,17,17
2022-10,2024-03,26,26
2022-10,2024-04,23,23
2022-10,2024-05,17,17
2022-10,2024-06,24,24
2022-10,2024-07,25,25
2022-10,2024-08,27,27
2022-10,2024-09,19,19
2022-10,2024-10,26,26
2022-10,2024-11,24,24
2022-10,2024-12,24,24
2022-11,2023-01,25,25
2022-11,2023-02,20,20
2022-11,2023-03,23,23
2022-11,2023-04,25,25
2022-11,2023-05,19,19
2022-11,2023-06,21,21
2022-11,2023-07,22,22
2022-11,2023-08,21,21
2022-11,2023-09,19,19
2022-11,2023-10,21,21
2022-11,2023-11,20,20
2022-11,2023-12,20,20
2022-11,2024-01,24,24
2022-11,2024-02,21,21
2022-11,2024-03,21,21
2022-11,2024-04,22,22
2022-11,2024-05,23,23
2022-11,2024-06,20,20
2022-11,2024-07,24,24
2022-11,2024-08,23,23
2022-11,2024-09,23,23
2022-11,2024-10,23,23
2022-11,2024-11,25,25
2022-11,2024-12,20,20
2022-12,2023-01,18,18
2022-12,2023-02,22,22
2022-12,2023-03,22,22
2022-12,2023-04,18,18
2022-12,2023-05,18,18
2022-12,2023-06,16,16
2022-12,2023-07,23,23
2022-12,2023-08,15,15
2022-12,2023-09,19,19
2022-12,2023-10,20,20
2022-12,2023-11,22,22
2022-12,2023-12,14,14
2022-12,2024-01,20,20
2022-12,2024-02,17,17
2022-12,2024-03,20,20
2022-12,2024-04,18,18
2022-12,2024-05,23,23
2022-12,2024-06,17,17
2022-12,2024-07,17,17
2022-12,2024-08,16,16
2022-12,2024-09,18,18
2022-12,2024-10,23,23
2022-12,2024-11,17,17
2022-12,2024-12,21,21
2023-01,2023-01,26,26
2023-01,2023-02,24,24
2023-01,2023-03,23,23
2023-01,2023-04,25,25
2023-01,2023-05,23,23
2023-01,2023-06,26,26
2023-01,2023-07,29,29
2023-01,2023-08,22,22
2023-01,2023-09,29,29
2023-01,2023-10,27,27
2023-01,2023-11,30,30
2023-01,2023-12,23,23
2023-01,2024-01,23,23
2023-01,2024-02,22,22
2023-01,2024-03,32,32
2023-01,2024-04,23,23
2023-01,2024-05,27,27
2023-01,2024-06,25,25
2023-01,2024-07,29,29
2023-01,2024-08,24,24
2023-01,2024-09,28,28
2023-01,2024-10,23,23
2023-01,2024-11,30,30
2023-01,2024-12,30,30
2023-02,2023-02,14,14
2023-02,2023-03,16,16
2023-02,2023-04,12,12
2023-02,2023-05,17,17
2023-02,2023-06,16,16
2023-02,2023-07,13,13
2023-02,2023-08,11,11
2023-02,2023-09,15,15
2023-02,2023-10,15,15
2023-02,2023-11,12,12
2023-02,2023-12,15,15
2023-02,2024-01,11,11
2023-02,2024-02,13,13
2023-02,2024-03,13,13
2023-02,2024-04,13,13
2023-02,2024-05,14,14
2023-02,2024-06,14,14
2023-02,2024-07,15,15
2023-02,2024-08,14,14
2023-02,2024-09,13,13
2023-02,2024-10,15,15
2023-02,2024-11,14,14
2023-02,2024-12,15,15
2023-03,2023-03,23,23
2023-03,2023-04,19,19
2023-03,2023-05,23,23
2023-03,2023-06,25,25
2023-03,2023-07,24,24
2023-03,2023-08,25,25
2023-03,2023-09,20,20
2023-03,2023-10,22,22
2023-03,2023-11,22,22
2023-03,2023-12,25,25
2023-03,2024-01,21,21
2023-03,2024-02,18,18
2023-03,2024-03,18,18
2023-03,2024-04,21,21
2023-03,2024-05,25,25
2023-03,2024-06,21,21
2023-03,2024-07,22,22
2023-03,2024-08,26,26
2023-03,2024-09,19,19
2023-03,2024-10,24,24
2023-03,2024-11,20,20
2023-03,2024-12,23,23
2023-04,2023-04,22,22
2023-04,2023-05,18,18
2023-04,2023-06,22,22
2023-04,2023-07,22,22
2023-04,2023-08,25,25
2023-04,2023-09,17,17
2023-04,2023-10,19,19
2023-04,2023-11,21,21
2023-04,2023-12,20,20
2023-04,2024-01,22,22
2023-04,2024-02,21,21
2023-04,2024-03,14,14
2023-04,2024-04,18,18
2023-04,2024-05,22,22
2023-04,2024-06,20,20
2023-04,2024-07,15,15
2023-04,2024-08,18,18
2023-04,2024-09,20,20
2023-04,2024-10,19,19
2023-04,2024-11,20,20
2023-04,2024-12,25,25
2023-05,2023-05,18,18
2023-05,2023-06,23,23
2023-05,2023-07,24,24
2023-05,2023-08,22,22
2023-05,2023-09,18,18
2023-05,2023-10,20,20
2023-05,2023-11,22,22
2023-05,2023-12,21,21
2023-05,2024-01,24,24
2023-05,2024-02,18,18
2023-05,2024-03,25,25
2023-05,2024-04,20,20
2023-05,2024-05,26,26
2023-05,2024-06,19,19
2023-05,2024-07,19,19
2023-05,2024-08,21,21
2023-05,2024-09,20,20
2023-05,2024-10,24,24
2023-05,2024-11,18,18
2023-05,2024-12,16,16
2023-06,2023-06,30,30
2023-06,2023-07,23,23
2023-06,2023-08,24,24
2023-06,2023-09,22,22
2023-06,2023-10,23,23
2023-06,2023-11,19,19
2023-06,2023-12,20,20
2023-06,2024-01,29,29
2023-06,2024-02,24,24
2023-06,2024-03,23,23
2023-06,2024-04,25,25
2023-06,2024-05,23,23
2023-06,2024-06,24,24
2023-06,2024-07,23,23
2023-06,2024-08,26,26
2023-06,2024-09,21,21
2023-06,2024-10,23,23
2023-06,2024-11,19,19
2023-06,2024-12,25,25
2023-07,2023-07,36,36
2023-07,2023-08,34,34
