cohort_month,activity_month,accounts_in_cohort_month,accounts_with_activity
2020-08,2024-08,2,2
2020-08,2024-09,3,3
2020-08,2024-10,1,1
2020-08,2024-11,3,3
2020-08,2024-12,4,4
2020-09,2023-01,1,1
2020-09,2023-02,6,6
2020-09,2023-03,4,4
2020-09,2023-04,2,2
2020-09,2023-05,4,4
2020-09,2023-06,2,2
2020-09,2023-07,2,2
2020-09,2023-08,4,4
2020-09,2023-09,3,3
2020-09,2023-10,2,2
2020-09,2023-11,2,2
2020-09,2023-12,1,1
2020-09,2024-01,2,2
2020-09,2024-03,3,3
2020-09,2024-04,2,2
2020-09,2024-05,3,3
2020-09,2024-06,3,3
2020-09,2024-07,3,3
2020-09,2024-08,2,2
2020-09,2024-09,3,3
2020-09,2024-11,2,2
2020-09,2024-12,3,3
2020-10,2023-01,4,4
2020-10,2023-02,4,4
2020-10,2023-03,4,4
2020-10,2023-04,1,1
2020-10,2023-05,2,2
2020-10,2023-06,3,3
2020-10,2023-08,2,2
2020-10,2023-09,2,2
2020-10,2023-10,1,1
2020-10,2023-11,1,1
2020-10,2023-12,1,1
2020-10,2024-01,3,3
2020-10,2024-02,1,1
2020-10,2024-03,1,1
2020-10,2024-04,3,3
2020-10,2024-05,2,2
2020-10,2024-06,2,2
2020-10,2024-07,2,2
2020-10,2024-08,5,5
2020-10,2024-09,3,3
2020-10,2024-10,4,4
2020-10,2024-11,3,3
2020-10,2024-12,3,3
2020-11,2023-01,3,3
2020-11,2023-03,3,3
2020-11,2023-04,1,1
2020-11,2023-05,2,2
2020-11,2023-06,1,1
2020-11,2023-07,6,6
2020-11,2023-08,3,3
2020-11,2023-09,1,1
2020-11,2023-11,4,4
2020-11,2023-12,5,5
2020-11,2024-02,2,2
2020-11,2024-03,4,4
2020-11,2024-04,4,4
2020-11,2024-05,4,4
2020-11,2024-06,2,2
2020-11,2024-07,1,1
2020-11,2024-08,3,3
2020-11,2024-09,2,2
2020-11,2024-10,4,4
2020-11,2024-11,2,2
2020-11,2024-12,2,2
2020-12,2023-01,2,2
2020-12,2023-02,1,1
2020-12,2023-03,1,1
2020-12,2023-05,3,3
2020-12,2023-06,5,5
2020-12,2023-07,2,2
2020-12,2023-08,1,1
2020-12,2023-09,4,4
2020-12,2023-11,3,3
2020-12,2024-01,2,2
2020-12,2024-02,2,2
2020-12,2024-03,1,1
2020-12,2024-04,1,1
2020-12,2024-05,2,2
2020-12,2024-06,5,5
2020-12,2024-07,1,1
2020-12,2024-08,4,4
2020-12,2024-09,2,2
2020-12,2024-10,1,1
2020-12,2024-12,2,2
2021-01,2023-01,3,3
2021-01,2023-03,2,2
2021-01,2023-04,2,2
2021-01,2023-05,1,1
2021-01,2023-06,1,1
2021-01,2023-07,2,2
2021-01,2023-08,2,2
2021-01,2023-09,4,4
2021-01,2023-10,1,1
2021-01,2023-11,2,2
2021-01,2023-12,1,1
2021-01,2024-01,3,3
2021-01,2024-02,2,2
2021-01,2024-03,4,4
2021-01,2024-04,2,2
2021-01,2024-05,2,2
2021-01,2024-06,3,3
2021-01,2024-07,4,4
2021-01,2024-08,3,3
2021-01,2024-09,2,2
2021-01,2024-10,3,3
2021-01,2024-11,3,3
2021-01,2024-12,2,2
2021-02,2023-01,1,1
2021-02,2023-03,1,1
2021-02,2023-04,1,1
2021-02,2023-07,1,1
2021-02,2023-08,1,1
2021-02,2023-10,2,2
2021-02,2023-11,2,2
2021-02,2024-01,1,1
2021-02,2024-03,1,1
2021-02,2024-06,2,2
2021-02,2024-07,1,1
2021-02,2024-08,1,1
2021-02,2024-09,2,2
2021-02,2024-11,1,1
2021-02,2024-12,1,1
2021-03,2023-01,3,3
2021-03,2023-02,2,2
2021-03,2023-03,6,6
2021-03,2023-04,3,3
2021-03,2023-05,5,5
2021-03,2023-06,2,2
2021-03,2023-07,4,4
2021-03,2023-08,3,3
2021-03,2023-09,4,4
2021-03,2023-10,5,5
2021-03,2023-11,4,4
2021-03,2023-12,5,5
2021-03,2024-01,2,2
2021-03,2024-02,4,4
2021-03,2024-03,4,4
2021-03,2024-04,3,3
2021-03,2024-05,3,3
2021-03,2024-06,5,5
2021-03,2024-07,6,6
2021-03,2024-08,3,3
2021-03,2024-09,3,3
2021-03,2024-10,4,4
2021-03,2024-11,5,5
2021-03,2024-12,5,5
2021-04,2023-01,8,8
2021-04,2023-02,5,5
2021-04,2023-03,4,4
2021-04,2023-04,7,7
2021-04,2023-05,7,7
2021-04,2023-06,3,3
2021-04,2023-07,7,7
2021-04,2023-08,5,5
2021-04,2023-09,8,8
2021-04,2023-10,7,7
2021-04,2023-11,5,5
2021-04,2023-12,5,5
2021-04,2024-01,6,6
2021-04,2024-02,4,4
2021-04,2024-03,4,4
2021-04,2024-04,9,9
2021-04,2024-05,5,5
2021-04,2024-06,5,5
2021-04,2024-07,5,5
2021-04,2024-08,1,1
2021-04,2024-09,6,6
2021-04,2024-10,5,5
2021-04,2024-11,7,7
2021-04,2024-12,6,6
2021-05,2023-01,7,7
2021-05,2023-02,5,5
2021-05,2023-03,10,10
2021-05,2023-04,5,5
2021-05,2023-05,7,7
2021-05,2023-06,7,7
2021-05,2023-07,6,6
2021-05,2023-08,7,7
2021-05,2023-09,6,6
2021-05,2023-10,7,7
2021-05,2023-11,7,7
2021-05,2023-12,6,6
2021-05,2024-02,7,7
2021-05,2024-03,8,8
2021-05,2024-04,3,3
2021-05,2024-05,9,9
2021-05,2024-06,5,5
2021-05,2024-07,6,6
2021-05,2024-08,4,4
2021-05,2024-09,7,7
2021-05,2024-10,4,4
2021-05,2024-11,3,3
2021-05,2024-12,3,3
2021-06,2023-01,2,2
2021-06,2023-02,4,4
2021-06,2023-03,3,3
2021-06,2023-04,2,2
2021-06,2023-05,2,2
2021-06,2023-06,6,6
2021-06,2023-07,3,3
2021-06,2023-10,4,4
2021-06,2023-11,4,4
2021-06,2023-12,2,2
2021-06,2024-01,2,2
2021-06,2024-02,4,4
2021-06,2024-03,5,5
2021-06,2024-04,3,3
2021-06,2024-05,3,3
2021-06,2024-06,2,2
2021-06,2024-07,3,3
2021-06,2024-08,2,2
2021-06,2024-09,2,2
2021-06,2024-10,3,3
2021-06,2024-11,3,3
2021-06,2024-12,1,1
2021-07,2023-01,2,2
2021-07,2023-02,2,2
2021-07,2023-03,5,5
2021-07,2023-04,5,5
2021-07,2023-05,1,1
2021-07,2023-07,6,6
2021-07,2023-08,4,4
2021-07,2023-09,3,3
2021-07,2023-10,3,3
2021-07,2023-11,3,3
2021-07,2023-12,4,4
2021-07,2024-01,3,3
2021-07,2024-02,3,3
2021-07,2024-03,3,3
2021-07,2024-04,3,3
2021-07,2024-05,6,6
2021-07,2024-06,3,3
2021-07,2024-07,2,2
2021-07,2024-08,4,4
2021-07,2024-09,3,3
2021-07,2024-10,2,2
2021-07,2024-11,4,4
2021-07,2024-12,3,3
2021-08,2023-01,4,4
2021-08,2023-02,1,1
2021-08,2023-03,2,2
2021-08,2023-04,2,2
2021-08,2023-05,3,3
2021-08,2023-06,5,5
2021-08,2023-07,3,3
2021-08,2023-08,6,6
2021-08,2023-09,2,2
2021-08,2023-10,3,3
2021-08,2023-11,4,4
2021-08,2023-12,5,5
2021-08,2024-01,2,2
2021-08,2024-02,5,5
2021-08,2024-03,1,1
2021-08,2024-04,3,3
2021-08,2024-05,2,2
2021-08,2024-06,2,2
2021-08,2024-07,6,6
2021-08,2024-08,4,4
2021-08,2024-09,2,2
2021-08,2024-10,1,1
2021-08,2024-11,5,5
2021-08,2024-12,4,4
2021-09,2023-02,2,2
2021-09,2023-03,2,2
2021-09,2023-04,1,1
2021-09,2023-05,3,3
2021-09,2023-06,2,2
2021-09,2023-07,1,1
2021-09,2023-08,3,3
2021-09,2023-09,4,4
2021-09,2023-10,3,3
2021-09,2023-11,2,2
2021-09,2023-12,2,2
2021-09,2024-01,1,1
2021-09,2024-02,2,2
2021-09,2024-03,1,1
2021-09,2024-04,2,2
2021-09,2024-05,3,3
2021-09,2024-06,3,3
2021-09,2024-08,3,3
2021-09,2024-09,1,1
2021-09,2024-10,1,1
2021-09,2024-11,4,4
2021-10,2023-01,1,1
2021-10,2023-03,1,1
2021-10,2023-04,2,2
2021-10,2023-05,1,1
2021-10,2023-06,1,1
2021-10,2023-07,1,1
2021-10,2023-08,1,1
2021-10,2023-09,1,1
2021-10,2023-11,2,2
2021-10,2024-01,1,1
2021-10,2024-02,3,3
2021-10,2024-03,1,1
2021-10,2024-04,1,1
2021-10,2024-05,2,2
2021-10,2024-07,1,1
2021-10,2024-09,1,1
2021-10,2024-11,2,2
2021-10,2024-12,1,1
2021-11,2023-01,3,3
2021-11,2023-02,4,4
2021-11,2023-04,1,1
2021-11,2023-05,3,3
2021-11,2023-06,1,1
2021-11,2023-07,5,5
2021-11,2023-08,6,6
2021-11,2023-09,3,3
2021-11,2023-10,1,1
2021-11,2023-11,4,4
2021-11,2023-12,2,2
2021-11,2024-01,5,5
2021-11,2024-02,4,4
2021-11,2024-03,4,4
2021-11,2024-04,1,1
2021-11,2024-05,1,1
2021-11,2024-06,1,1
2021-11,2024-07,2,2
2021-11,2024-09,3,3
2021-11,2024-10,3,3
2021-11,2024-11,2,2
2021-11,2024-12,3,3
2021-12,2023-01,5,5
2021-12,2023-02,5,5
2021-12,2023-03,3,3
2021-12,2023-04,3,3
2021-12,2023-05,3,3
2021-12,2023-06,2,2
2021-12,2023-07,3,3
2021-12,2023-08,4,4
2021-12,2023-09,6,6
2021-12,2023-10,4,4
2021-12,2023-11,5,5
2021-12,2023-12,5,5
2021-12,2024-01,7,7
2021-12,2024-02,5,5
2021-12,2024-03,4,4
2021-12,2024-04,3,3
2021-12,2024-05,1,1
2021-12,2024-06,5,5
2021-12,2024-07,4,4
2021-12,2024-08,5,5
2021-12,2024-09,5,5
2021-12,2024-10,3,3
2021-12,2024-11,2,2
2021-12,2024-12,4,4
2022-01,2023-01,3,3
2022-01,2023-02,3,3
2022-01,2023-03,3,3
2022-01,2023-04,5,5
2022-01,2023-05,4,4
2022-01,2023-06,3,3
2022-01,2023-07,1,1
2022-01,2023-08,1,1
2022-01,2023-09,1,1
2022-01,2023-10,3,3
2022-01,2023-11,2,2
2022-01,2023-12,3,3
2022-01,2024-01,5,5
2022-01,2024-02,2,2
2022-01,2024-03,1,1
2022-01,2024-04,3,3
2022-01,2024-05,4,4
2022-01,2024-06,3,3
2022-01,2024-07,3,3
2022-01,2024-08,4,4
2022-01,2024-09,5,5
2022-01,2024-10,4,4
2022-01,2024-11,1,1
2022-01,2024-12,3,3
2022-02,2023-01,3,3
2022-02,2023-03,5,5
2022-02,2023-04,6,6
2022-02,2023-05,3,3
2022-02,2023-06,3,3
2022-02,2023-07,4,4
2022-02,2023-08,4,4
2022-02,2023-09,1,1
2022-02,2023-10,6,6
2022-02,2023-11,5,5
2022-02,2023-12,5,5
2022-02,2024-01,3,3
2022-02,2024-02,3,3
2022-02,2024-03,2,2
2022-02,2024-04,4,4
2022-02,2024-05,4,4
2022-02,2024-06,3,3
2022-02,2024-07,3,3
2022-02,2024-08,2,2
2022-02,2024-09,4,4
2022-02,2024-10,1,1
2022-02,2024-11,1,1
2022-02,2024-12,1,1
2022-03,2023-01,1,1
2022-03,2023-03,2,2
2022-03,2023-04,1,1
2022-03,2023-05,1,1
2022-03,2023-06,3,3
2022-03,2023-07,3,3
2022-03,2023-08,2,2
2022-03,2023-09,5,5
2022-03,2023-10,2,2
2022-03,2023-11,1,1
2022-03,2023-12,3,3
2022-03,2024-02,2,2
2022-03,2024-03,2,2
2022-03,2024-04,1,1
2022-03,2024-05,1,1
2022-03,2024-06,3,3
2022-03,2024-07,2,2
2022-03,2024-08,2,2
2022-03,2024-09,1,1
2022-03,2024-11,1,1
2022-03,2024-12,2,2
2022-04,2023-01,1,1
2022-04,2023-02,3,3
2022-04,2023-03,5,5
2022-04,2023-04,4,4
2022-04,2023-05,4,4
2022-04,2023-06,3,3
2022-04,2023-07,2,2
2022-04,2023-08,5,5
2022-04,2023-09,4,4
2022-04,2023-10,3,3
2022-04,2023-11,3,3
2022-04,2023-12,6,6
2022-04,2024-01,2,2
2022-04,2024-02,3,3
2022-04,2024-03,2,2
2022-04,2024-04,6,6
2022-04,2024-05,6,6
2022-04,2024-06,3,3
2022-04,2024-07,3,3
2022-04,2024-08,3,3
2022-04,2024-09,4,4
2022-04,2024-10,2,2
2022-04,2024-11,3,3
2022-04,2024-12,2,2
2022-05,2023-01,3,3
2022-05,2023-02,2,2
2022-05,2023-03,5,5
2022-05,2023-04,6,6
2022-05,2023-05,4,4
2022-05,2023-06,3,3
2022-05,2023-07,8,8
2022-05,2023-08,2,2
2022-05,2023-09,4,4
2022-05,2023-10,5,5
2022-05,2023-11,4,4
2022-05,2023-12,3,3
2022-05,2024-01,2,2
2022-05,2024-02,4,4
2022-05,2024-03,1,1
2022-05,2024-04,3,3
2022-05,2024-05,1,1
2022-05,2024-06,3,3
2022-05,2024-07,4,4
2022-05,2024-08,3,3
2022-05,2024-09,4,4
2022-05,2024-11,3,3
2022-05,2024-12,1,1
2022-06,2023-01,3,3
2022-06,2023-03,1,1
2022-06,2023-04,3,3
2022-06,2023-05,5,5
2022-06,2023-06,3,3
2022-06,2023-07,3,3
2022-06,2023-08,2,2
2022-06,2023-09,2,2
2022-06,2023-10,3,3
2022-06,2023-11,2,2
2022-06,2023-12,3,3
2022-06,2024-01,3,3
2022-06,2024-02,2,2
2022-06,2024-03,4,4
2022-06,2024-04,3,3
2022-06,2024-05,5,5
2022-06,2024-06,1,1
2022-06,2024-07,1,1
2022-06,2024-08,2,2
2022-06,2024-09,6,6
2022-06,2024-10,5,5
2022-06,2024-11,3,3
2022-06,2024-12,3,3
2022-07,2023-01,6,6
2022-07,2023-02,3,3
2022-07,2023-03,3,3
2022-07,2023-04,5,5
2022-07,2023-05,3,3
2022-07,2023-06,3,3
2022-07,2023-07,4,4
2022-07,2023-08,1,1
2022-07,2023-09,1,1
2022-07,2023-10,5,5
2022-07,2023-11,3,3
2022-07,2023-12,4,4
2022-07,2024-01,3,3
2022-07,2024-02,5,5
2022-07,2024-03,1,1
2022-07,2024-04,3,3
2022-07,2024-05,6,6
2022-07,2024-06,4,4
2022-07,2024-07,5,5
2022-07,2024-08,2,2
2022-07,2024-09,2,2
2022-07,2024-10,5,5
2022-07,2024-11,4,4
2022-07,2024-12,2,2
2022-08,2023-01,2,2
2022-08,2023-02,3,3
2022-08,2023-03,3,3
2022-08,2023-04,4,4
2022-08,2023-05,3,3
2022-08,2023-06,3,3
2022-08,2023-07,3,3
2022-08,2023-08,3,3
2022-08,2023-09,2,2
2022-08,2023-10,6,6
2022-08,2023-11,2,2
2022-08,2023-12,2,2
2022-08,2024-01,4,4
2022-08,2024-02,3,3
2022-08,2024-03,2,2
2022-08,2024-04,4,4
2022-08,2024-05,3,3
2022-08,2024-06,1,1
2022-08,2024-07,2,2
2022-08,2024-08,2,2
2022-08,2024-09,4,4
2022-08,2024-10,3,3
2022-08,2024-11,3,3
2022-08,2024-12,4,4
2022-09,2023-01,3,3
2022-09,2023-02,4,4
2022-09,2023-03,3,3
2022-09,2023-04,3,3
2022-09,2023-05,4,4
2022-09,2023-06,6,6
2022-09,2023-07,3,3
2022-09,2023-08,3,3
2022-09,2023-09,4,4
2022-09,2023-10,3,3
2022-09,2023-11,4,4
2022-09,2023-12,4,4
2022-09,2024-01,4,4
2022-09,2024-02,4,4
2022-09,2024-03,5,5
2022-09,2024-04,5,5
2022-09,2024-05,4,4
2022-09,2024-06,3,3
2022-09,2024-07,5,5
2022-09,2024-08,5,5
2022-09,2024-09,5,5
2022-09,2024-10,5,5
2022-09,2024-11,4,4
2022-09,2024-12,3,3
2022-10,2023-01,2,2
2022-10,2023-02,3,3
2022-10,2023-03,2,2
2022-10,2023-04,5,5
2022-10,2023-05,1,1
2022-10,2023-06,4,4
2022-10,2023-07,2,2
2022-10,2023-08,5,5
2022-10,2023-09,5,5
2022-10,2023-10,3,3
2022-10,2023-11,3,3
2022-10,2023-12,6,6
2022-10,2024-01,3,3
2022-10,2024-02,3,3
2022-10,2024-03,2,2
2022-10,2024-04,4,4
2022-10,2024-05,4,4
2022-10,2024-06,5,5
2022-10,2024-07,4,4
2022-10,2024-08,3,3
2022-10,2024-09,4,4
2022-10,2024-10,3,3
2022-10,2024-11,2,2
2022-10,2024-12,4,4
2022-11,2023-01,3,3
2022-11,2023-02,3,3
2022-11,2023-03,2,2
2022-11,2023-04,3,3
2022-11,2023-05,2,2
2022-11,2023-06,2,2
2022-11,2023-08,3,3
2022-11,2023-09,5,5
2022-11,2023-10,4,4
2022-11,2023-11,2,2
2022-11,2023-12,4,4
2022-11,2024-01,3,3
2022-11,2024-03,4,4
2022-11,2024-04,3,3
2022-11,2024-05,2,2
2022-11,2024-06,4,4
2022-11,2024-07,1,1
2022-11,2024-08,2,2
2022-11,2024-09,2,2
2022-11,2024-10,2,2
2022-11,2024-11,2,2
2022-11,2024-12,3,3
2022-12,2023-01,1,1
2022-12,2023-02,1,1
2022-12,2023-03,2,2
2022-12,2023-04,1,1
2022-12,2023-05,4,4
2022-12,2023-06,1,1
2022-12,2023-07,1,1
2022-12,2023-08,3,3
2022-12,2023-09,2,2
2022-12,2023-10,2,2
2022-12,2023-11,2,2
2022-12,2023-12,1,1
2022-12,2024-04,1,1
2022-12,2024-05,2,2
2022-12,2024-06,2,2
2022-12,2024-07,1,1
2022-12,2024-08,3,3
2022-12,2024-09,2,2
2022-12,2024-10,3,3
2022-12,2024-11,3,3
2022-12,2024-12,3,3
2023-01,2023-01,1,1
2023-01,2023-02,1,1
2023-01,2023-03,2,2
2023-01,2023-04,2,2
2023-01,2023-05,2,2
2023-01,2023-06,4,4
2023-01,2023-07,1,1
2023-01,2023-08,1,1
2023-01,2023-09,4,4
2023-01,2023-10,1,1
2023-01,2023-11,1,1
2023-01,2023-12,3,3
2023-01,2024-01,1,1
2023-01,2024-02,1,1
2023-01,2024-03,2,2
2023-01,2024-04,4,4
2023-01,2024-05,1,1
2023-01,2024-06,3,3
2023-01,2024-09,4,4
2023-01,2024-10,2,2
2023-01,2024-11,3,3
2023-01,2024-12,1,1
2023-02,2023-03,2,2
2023-02,2023-06,1,1
2023-02,2023-11,1,1
2023-02,2023-12,1,1
2023-02,2024-01,1,1
2023-02,2024-02,1,1
2023-02,2024-03,1,1
2023-02,2024-04,1,1
2023-02,2024-05,1,1
2023-02,2024-10,1,1
2023-02,2024-11,1,1
2023-03,2023-03,1,1
2023-03,2023-04,2,2
2023-03,2023-05,2,2
2023-03,2023-06,2,2
2023-03,2023-07,3,3
2023-03,2023-08,5,5
2023-03,2023-09,1,1
2023-03,2023-10,1,1
2023-03,2023-11,3,3
2023-03,2023-12,3,3
2023-03,2024-01,2,2
2023-03,2024-02,1,1
2023-03,2024-03,3,3
2023-03,2024-04,2,2
2023-03,2024-05,3,3
2023-03,2024-06,2,2
2023-03,2024-07,4,4
2023-03,2024-08,3,3
2023-03,2024-09,3,3
2023-03,2024-10,2,2
2023-03,2024-11,3,3
2023-03,2024-12,1,1
2023-04,2023-04,3,3
2023-04,2023-05,4,4
2023-04,2023-06,2,2
2023-04,2023-07,6,6
2023-04,2023-08,3,3
2023-04,2023-09,3,3
2023-04,2023-10,3,3
2023-04,2023-11,3,3
2023-04,2023-12,3,3
2023-04,2024-01,4,4
2023-04,2024-02,4,4
2023-04,2024-03,3,3
2023-04,2024-04,3,3
2023-04,2024-05,4,4
2023-04,2024-06,5,5
2023-04,2024-07,4,4
2023-04,2024-08,3,3
2023-04,2024-09,4,4
2023-04,2024-10,4,4
2023-04,2024-11,6,6
2023-04,2024-12,3,3
2023-05,2023-05,1,1
2023-05,2023-06,3,3
2023-05,2023-07,4,4
2023-05,2023-08,5,5
2023-05,2023-09,2,2
2023-05,2023-10,5,5
2023-05,2023-11,3,3
2023-05,2023-12,2,2
2023-05,2024-01,4,4
2023-05,2024-02,4,4
2023-05,2024-03,4,4
2023-05,2024-04,4,4
2023-05,2024-05,4,4
2023-05,2024-06,3,3
2023-05,2024-07,1,1
2023-05,2024-08,3,3
2023-05,2024-09,1,1
2023-05,2024-10,2,2
2023-05,2024-11,3,3
2023-05,2024-12,3,3
2023-06,2023-06,4,4
2023-06,2023-07,4,4
2023-06,2023-08,4,4
2023-06,2023-09,5,5
2023-06,2023-10,2,2
2023-06,2023-11,5,5
2023-06,2023-12,5,5
2023-06,2024-01,3,3
2023-06,2024-02,3,3
2023-06,2024-03,4,4
2023-06,2024-04,5,5
2023-06,2024-05,2,2
2023-06,2024-06,5,5
2023-06,2024-07,2,2
2023-06,2024-08,3,3
2023-06,2024-09,1,1
2023-06,2024-10,1,1
2023-06,2024-11,2,2
2023-06,2024-12,1,1
2023-07,2023-07,5,5
2023-07,2023-08,5,5
2023-07,2023-09,5,5
2023-07,2023-10,7,7
2023-07,2023-11,8,8
2023-07,2023-12,7,7
2023-07,2024-01,8,8
2023-07,2024-02,7,7
2023-07,2024-03,7,7
2023-07,2024-04,4,4
2023-07,2024-05,5,5
2023-07,2024-06,5,5
2023-07,2024-07,2,2
2023-07,2024-08,3,3
2023-07,2024-09,5,5
2023-07,2024-10,4,4
2023-07,2024-11,6,6
2023-07,2024-12,8,8
2023-08,2023-08,1,1
2023-08,2023-09,2,2
2023-08,2023-10,1,1
2023-08,2023-11,2,2
2023-08,2023-12,2,2
2023-08,2024-01,2,2
2023-08,2024-02,1,1
2023-08,2024-03,3,3
2023-08,2024-04,2,2
2023-08,2024-05,1,1
2023-08,2024-06,1,1
2023-08,2024-07,1,1
2023-08,2024-08,2,2
2023-08,2024-09,2,2
2023-08,2024-10,3,3
2023-08,2024-11,2,2
2023-08,2024-12,4,4
2023-09,2023-09,1,1
2023-09,2023-11,2,2
2023-09,2023-12,2,2
2023-09,2024-01,1,1
2023-09,2024-03,1,1
2023-09,2024-04,1,1
2023-09,2024-05,2,2
2023-09,2024-06,1,1
2023-09,2024-07,2,2
2023-09,2024-09,2,2
2023-09,2024-10,2,2
2023-09,2024-12,1,1
2023-10,2023-10,4,4
2023-10,2023-11,4,4
2023-10,2023-12,2,2
2023-10,2024-01,4,4
2023-10,2024-02,3,3
2023-10,2024-03,3,3
2023-10,2024-04,4,4
2023-10,2024-05,4,4
2023-10,2024-06,4,4
2023-10,2024-07,2,2
2023-10,2024-08,3,3
2023-10,2024-09,3,3
2023-10,2024-10,5,5
2023-10,2024-11,1,1
2023-10,2024-12,1,1
2023-11,2023-11,2,2
2023-11,2023-12,5,5
2023-11,2024-01,3,3
2023-11,2024-02,3,3
2023-11,2024-03,4,4
2023-11,2024-04,2,2
2023-11,2024-05,3,3
2023-11,2024-06,4,4
2023-11,2024-07,2,2
2023-11,2024-08,3,3
2023-11,2024-09,6,6
2023-11,2024-10,2,2
2023-11,2024-11,1,1
2023-11,2024-12,5,5
