account_id,region,total_txn_amount,rank_within_region
SYNTHETIC_ACCT_0089,WEST,724.04,26
SYNTHETIC_ACCT_0090,NORTH,55702.12,2
SYNTHETIC_ACCT_0091,SOUTH,4493.95,28
SYNTHETIC_ACCT_0092,SOUTH,65384.75000000001,2
SYNTHETIC_ACCT_0093,SOUTH,13448.11,24
SYNTHETIC_ACCT_0094,SOUTH,17480.22,21
SYNTHETIC_ACCT_0095,NORTH,21867.98,13
SYNTHETIC_ACCT_0096,NORTH,7531.780000000001,22
SYNTHETIC_ACCT_0097,EAST,41265.41,9
SYNTHETIC_ACCT_0098,EAST,55157.65000000001,5
SYNTHETIC_ACCT_0099,WEST,46996.37,6
SYNTHETIC_ACCT_0100,NORTH,66293.51,1
